Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,Image
62952130,The Vaster Wilds,Lauren Groff,"Groff, Lauren",,593418395,9780593418390,4,Riverhead Books,Hardcover,256,2023,2023,2023/10/28,2023/10/28,,,read,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1680169653i/62952130.jpg
13453029,"Wool Omnibus (Silo, #1)",Hugh Howey,"Howey, Hugh",,,,3,Broad Reach Publishing,Paperback,509,2012,2012,2023/11/04,2023/11/04,,,read,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1349614200i/13453029.jpg
44421460,"Before the Coffee Gets Cold (Before the Coffee Gets Cold, #1)",Toshikazu Kawaguchi,"Kawaguchi, Toshikazu",Geoffrey Trousselot,1529029589,9781529029581,2,Picador,Paperback,213,2019,2015,2023/11/13,2023/11/13,,,read,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1704153539i/44421460.jpg
46041199,"Kim Jiyoung, Born 1982",Cho Nam-Joo,"Nam-Joo, Cho",Jamie Chang,1631496700,9781631496707,4,Liveright,Hardcover,163,2020,2016,2023/11/21,2023/11/21,,,read,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1587128688i/46041199.jpg
199635,Fair and Tender Ladies,Lee  Smith,"Smith, Lee",,345383990,9780345383990,5,Ballantine Books,Paperback,336,1993,1988,2023/11/30,2023/11/30,,,read,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1389575982i/199635.jpg
48727478,Starve Acre,Andrew Michael Hurley,"Hurley, Andrew Michael",,1529387302,9781529387308,3,John Murray,Paperback,243,2020,2019,2023/12/12,2023/12/09,,,read,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1573145732i/48727478.jpg
62047984,Yellowface,R.F. Kuang,"Kuang, R.F.",,,,3,William Morrow,Paperback,319,2023,2023,2024/02/10,2023/12/12,,,read,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1671336608i/62047984.jpg
66086834,The Fraud,Zadie Smith,"Smith, Zadie",,,,2,Penguin Press,Hardcover,464,2023,2023,2023/12/16,2023/12/16,,,read,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1677770042i/66086834.jpg
492459,Antarctica,Claire Keegan,"Keegan, Claire",,802139019,9780802139016,3,Grove Press,Paperback,224,2002,1999,2023/12/20,2023/12/20,,,read,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1348957589i/492459.jpg
71872930,North Woods,Daniel       Mason,"Mason, Daniel",,593597036,9780593597033,4,Random House,Hardcover,372,2023,2023,2023/12/26,2023/12/26,,,read,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1684816182i/71872930.jpg
59547529,The Exhibitionist,Charlotte Mendelson,"Mendelson, Charlotte",,1529052742,9781529052749,2,"Mantle, Pan Macmillan",Hardcover,336,2022,2022,2023/12/29,2023/12/29,,,read,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1636149885i/59547529.jpg
42634735,Everything You Ever Wanted,Luiza Sauma,"Sauma, Luiza",,,,3,Viking,Kindle Edition,240,2019,2019,2025/09/21,2023/12/30,,,read,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1541431903i/42634735.jpg
53780642,The Employees,Olga Ravn,"Ravn, Olga",Martin Aitken,,,2,Lolli Editions,Paperback,136,2020,2018,2024/05/08,2023/12/30,,,read,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1591135601i/53780642.jpg
61273812,You Could Make This Place Beautiful,Maggie  Smith,"Smith, Maggie",,1982185856,9781982185855,4,Atria/One Signal Publishers,Hardcover,320,2023,2023,2024/01/01,2024/01/01,,,read,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1678900098i/61273812.jpg
61284370,"Oh, Caledonia",Elspeth Barker,"Barker, Elspeth","Maggie O'Farrell, Milo J. Krmpotic",8418800356,9788418800351,4,Catedral,Paperback,272,2022,1991,2024/01/01,2024/01/01,,,read,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1655152913i/61284370.jpg
